CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
GRAND THEFT,03/17/2025 05:15:00 AM,25-902700,GRAND THEFT,16Y,3709 EMERSON ST,Oakland,CA,POINT (-122.23079 37.80406)
ROBBERY,03/28/2025 05:53:00 PM,25-013841,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,30X,8135 BANCROFT AV,Oakland,CA,POINT (-122.17088 37.7601)
MISDEMEANOR ASSAULT,03/25/2025 12:00:00 PM,25-013633,FIGHT/CHALLENGE IN PUBLIC PLACE,99X,620 S 16TH ST,Oakland,CA,POINT (-122.27433 37.80721)
BURG - RESIDENTIAL,02/20/2025 04:11:00 PM,25-008067,BURGLARY,31Z,10550 TOPANGA DR,Oakland,CA,POINT (-122.18074 37.72857)
,04/05/2025 12:51:00 PM,25-903186,BURGLARY-NO FORCE,04X,160 14TH ST,Oakland,CA,POINT (-122.2644 37.80164)
STOLEN VEHICLE,04/07/2025 12:00:00 AM,25-015416,VEHICLE THEFT - AUTO,22Y,2 EL CARMELO CIR,Oakland,CA,POINT (-122.18985 37.79981)
RECOVERED O/S STOLEN,03/10/2025 11:00:00 AM,25-010906,VEHICLE THEFT - AUTO,31Z,820 100TH AV,Oakland,CA,POINT (-122.1792 37.73755)
FELONY ASSAULT,02/28/2025 08:00:00 PM,25-009375,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,17Y,1321 MACARTHUR BLVD,Oakland,CA,POINT (-122.23087 37.80177)
MISDEMEANOR ASSAULT,03/29/2025 06:30:00 PM,25-014239,INFLICT CRPL INJ SP/COHAB,27X,4609 BOND ST,Oakland,CA,POINT (-122.20975 37.77275)
DOMESTIC VIOLENCE,03/27/2025 07:00:00 AM,25-013590,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,06X,3005 WEST ST,Oakland,CA,POINT (-122.27349 37.82028)
VANDALISM,04/08/2025 07:56:00 PM,25-014620,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,35X,2203 92ND AV,Oakland,CA,POINT (-122.16475 37.75288)
STOLEN VEHICLE,03/03/2025 12:00:00 PM,25-009933,VEHICLE THEFT - AUTO,17X,631 E 18TH ST,Oakland,CA,POINT (-122.24878 37.7972)
STOLEN VEHICLE,04/12/2025 11:00:00 AM,25-016619,VEHICLE THEFT - AUTO,77X,100 23RD ST,Oakland,CA,
WEAPONS,04/11/2025 10:30:00 AM,25-016125,CARRY LOADED FIREARM IN PUBLIC UNDER SPEC CIRCUMSTANCES,23X,1200 42ND AV,Oakland,CA,POINT (-122.21713 37.77203)
STOLEN VEHICLE,03/29/2025 07:40:00 AM,25-013972,VEHICLE THEFT - AUTO,08X,3701 BROADWAY,Oakland,CA,POINT (-122.25849 37.82468)
,03/19/2025 12:00:00 AM,25-902812,VANDALISM,18Y,2000 E 30TH ST,Oakland,CA,POINT (-122.22832 37.79734)
FORGERY & COUNTERFEITING,04/01/2025 01:17:00 AM,25-014320,FORGERY,17Y,1285 MACARTHUR BLVD,Oakland,CA,POINT (-122.23178 37.80242)
,03/12/2025 08:55:00 PM,25-903147,BURGLARY-NO FORCE,02X,1103 3RD ST,Oakland,CA,POINT (-122.28833 37.80085)
STOLEN VEHICLE,03/17/2025 12:00:00 AM,25-012038,VEHICLE THEFT - AUTO,19X,122 E 12TH ST,Oakland,CA,POINT (-122.25737 37.79789)
ROBBERY,03/01/2025 06:00:00 PM,25-009565,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,02Y,1121 WILLOW ST,Oakland,CA,POINT (-122.298 37.8108)
MISDEMEANOR ASSAULT,03/16/2025 12:22:00 AM,25-011899,CRUELTY TO ELDER/DEPENDENT ADULT,27X,3309 BANCROFT WY,Oakland,CA,
FELONY ASSAULT,01/26/2025 09:00:00 PM,25-004124,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,10Y,908 43RD ST,Oakland,CA,POINT (-122.27352 37.83309)
BURG - AUTO,01/27/2025 08:00:00 AM,25-004187,BURGLARY-AUTO,31Y,566 HEGENBERGER RD,Oakland,CA,POINT (-122.19565 37.74514)
STOLEN VEHICLE,02/26/2025 06:00:00 PM,25-009190,VEHICLE THEFT - AUTO,12Y,455 MCAULEY ST,Oakland,CA,POINT (-122.25895 37.84604)
STOLEN VEHICLE,02/01/2025 05:00:00 PM,25-004985,SC STOLEN VEHICLE - AUTO,26Y,70TH AV & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.1895 37.76034)
PETTY THEFT,04/04/2025 04:01:00 PM,25-015044,THEFT,08X,500 W GRAND AV,Oakland,CA,POINT (-122.26915 37.81196)
ARSON,02/06/2025 10:44:00 PM,25-005873,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,31Z,801 100TH AV,Oakland,CA,POINT (-122.17947 37.73736)
PETTY THEFT,01/21/2025 12:46:00 PM,25-003257,THEFT,31Z,296 105TH AV,Oakland,CA,POINT (-122.1824 37.72573)
GRAND THEFT,01/22/2025 08:37:00 AM,25-003350,VANDALISM-$400+,15X,745 CLEVELAND AV,Oakland,CA,POINT (-122.24374 37.80433)
VANDALISM,03/23/2025 05:00:00 PM,25-013509,VANDALISM,18X,1715 20TH AV,Oakland,CA,POINT (-122.23741 37.78853)
GRAND THEFT,01/31/2025 04:00:00 PM,25-901095,GRAND THEFT,06X,3107 WEST ST,Oakland,CA,POINT (-122.27327 37.82115)
DISORDERLY CONDUCT,02/10/2025 04:28:00 AM,25-006471,DISTURB THE PEACE,08X,350 HAWTHORNE AV,Oakland,CA,POINT (-122.26406 37.81978)
GRAND THEFT,02/14/2025 03:30:00 PM,25-007092,THEFT,09X,5100 BROADWAY,Oakland,CA,POINT (-122.24923 37.83479)
BURG - AUTO,02/19/2025 07:50:00 AM,25-901491,BURGLARY-AUTO,77X,MOUNTAIN BLVD,Oakland,CA,
RECOVERED O/S STOLEN,03/20/2025 08:15:00 AM,25-012517,VEHICLE THEFT - AUTO,31Z,10901 RUSSETT ST,Oakland,CA,POINT (-122.1726 37.73173)
BURG - AUTO,02/13/2025 01:15:00 PM,25-901469,BURGLARY-AUTO,12X,4166 WEBSTER ST,Oakland,CA,POINT (-122.26021 37.83081)
STOLEN VEHICLE,03/23/2025 05:00:00 AM,25-012969,VEHICLE THEFT - AUTO,05X,970 14TH ST,Oakland,CA,POINT (-122.28243 37.80882)
MISCELLANEOUS TRAFFIC CRIME,01/30/2025 12:23:00 PM,25-004679,VANDALISM:DAMAGE PROPERTY,32X,10125 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.16889 37.74162)
RECOVERED O/S STOLEN,02/25/2025 06:43:00 PM,25-008831,VEHICLE THEFT - AUTO,17X,427 E 17TH ST,Oakland,CA,POINT (-122.2514 37.79803)
PETTY THEFT,03/31/2025 05:38:00 PM,25-014274,THEFT,26Y,6755 LEONA CREEK DR,Oakland,CA,POINT (-122.19875 37.75647)
DOMESTIC VIOLENCE,03/27/2025 03:00:00 PM,25-013734,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,13Y,6705 OAKWOOD DR,Oakland,CA,POINT (-122.20021 37.8421)
BURG - AUTO,02/06/2025 07:00:00 PM,25-901247,BURGLARY-AUTO,12X,4900 TELEGRAPH AV,Oakland,CA,POINT (-122.26258 37.8361)
DISORDERLY CONDUCT,02/23/2025 02:00:00 PM,25-009518,DISTURB THE PEACE,09X,130 MONTE VISTA AV,Oakland,CA,POINT (-122.25201 37.82415)
NARCOTICS,02/16/2025 07:00:00 AM,25-007322,CARRY LOADED HANDGUN: NOT REG OWNER,30Y,2802 68TH AV,Oakland,CA,POINT (-122.17935 37.76913)
BURG - AUTO,02/26/2025 06:15:00 AM,25-008887,BURGLARY-AUTO,13Z,2059 MOUNTAIN BLVD,Oakland,CA,POINT (-122.20935 37.82647)
MISDEMEANOR ASSAULT,02/03/2025 07:05:00 PM,25-005303,BATTERY,23X,3400 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.22372 37.77659)
DOMESTIC VIOLENCE,03/19/2025 02:30:00 PM,25-012439,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,12X,350 40TH ST,Oakland,CA,POINT (-122.25801 37.82809)
BURG - AUTO,03/17/2025 07:00:00 PM,25-902359,BURGLARY-AUTO,01X,461 2ND ST,Oakland,CA,POINT (-122.27667 37.79617)
STOLEN VEHICLE,04/14/2025 09:00:00 PM,25-016768,VEHICLE THEFT - AUTO,28X,3112 RAWSON ST,Oakland,CA,POINT (-122.19287 37.7802)
FELONY ASSAULT,02/24/2025 11:13:00 PM,25-008686,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,34X,9223 PLYMOUTH ST,Oakland,CA,POINT (-122.17018 37.74975)
STOLEN VEHICLE,03/24/2025 07:08:00 AM,25-013266,VEHICLE THEFT - AUTO,13Z,6667 AITKEN DR,Oakland,CA,POINT (-122.18866 37.83153)
MISDEMEANOR ASSAULT,03/04/2025 12:42:00 PM,25-009957,BATTERY,04X,1850 ALICE ST,Oakland,CA,POINT (-122.26412 37.80525)
BURG - AUTO,01/22/2025 09:00:00 PM,25-901896,BURGLARY-AUTO,08X,3915 BROADWAY,Oakland,CA,POINT (-122.25709 37.82738)
NARCOTICS,02/13/2025 05:53:00 PM,25-006859,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,35Y,9430 MOUNTAIN BLVD,Oakland,CA,POINT (-122.14744 37.75867)
DUI,02/19/2025 08:16:00 PM,25-007922,DUI ALCOHOL/0.08 PERCENT,30X,2461 68TH AV,Oakland,CA,POINT (-122.18508 37.76545)
PETTY THEFT,02/12/2025 07:15:00 PM,25-006701,THEFT,27X,5444 BANCROFT AV,Oakland,CA,POINT (-122.19932 37.77176)
STOLEN VEHICLE,04/07/2025 08:00:00 PM,25-015518,VEHICLE THEFT - AUTO,16Y,3527 GLEN PARK RD,Oakland,CA,POINT (-122.22584 37.80153)
VANDALISM,03/11/2025 10:00:00 AM,25-011071,VANDALISM-$400+,30Y,7717 NEY AV,Oakland,CA,POINT (-122.16767 37.76765)
,04/08/2025 08:30:00 AM,25-903326,ATTEMPT VEHICLE THEFT-AUTO,09X,360 MONTE VISTA AVE,Oakland,CA,POINT (-122.24904 37.82204)
STOLEN VEHICLE,03/26/2025 04:00:00 PM,25-013530,VEHICLE THEFT - AUTO,77X,260 BROOKLYN BASIN WY,Oakland,CA,POINT (-122.25812 37.78857)
DOMESTIC VIOLENCE,04/03/2025 07:00:00 AM,25-014812,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,18X,1715 20TH AV,Oakland,CA,POINT (-122.23741 37.78853)
PETTY THEFT,02/02/2025 12:00:00 AM,25-013316,THEFT,99X,842 33RD ST,Oakland,CA,POINT (-122.27412 37.8236)
VANDALISM,03/09/2025 11:41:00 AM,25-010755,BATTERY,24Y,4004 PENNIMAN AV,Oakland,CA,POINT (-122.20257 37.78611)
BURG - COMMERCIAL,03/15/2025 06:30:00 AM,25-011784,BURGLARY-FORCIBLE ENTRY,10X,5912 SAN PABLO AV,Oakland,CA,POINT (-122.283 37.84266)
ROBBERY,04/06/2025 01:30:00 AM,25-015257,CARJACKING WITH FIREARM,08X,2600 NORTHGATE AV,Oakland,CA,POINT (-122.27009 37.81554)
STOLEN VEHICLE,02/12/2025 10:15:00 PM,25-006720,VEHICLE THEFT - AUTO,05X,1626 CHESTNUT ST,Oakland,CA,POINT (-122.28432 37.81126)
BURG - AUTO,02/15/2025 02:00:00 AM,25-901911,BURGLARY-AUTO,17X,401 E 18TH ST,Oakland,CA,POINT (-122.25108 37.79877)
DOMESTIC VIOLENCE,02/16/2025 11:19:00 PM,25-007442,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26Y,1275 60TH AV,Oakland,CA,POINT (-122.20083 37.76326)
PETTY THEFT,03/17/2025 02:57:00 AM,25-012077,THEFT,33X,8816 D ST,Oakland,CA,POINT (-122.18032 37.74848)
,04/17/2025 01:40:00 AM,25-903509,BURGLARY-AUTO,29X,3572 66TH AVE,Oakland,CA,POINT (-122.17528 37.77431)
BURG - AUTO,02/09/2025 02:00:00 PM,25-006134,BURGLARY-AUTO,04X,1550 BROADWAY,Oakland,CA,POINT (-122.27023 37.80587)
FELONY ASSAULT,02/22/2025 02:14:00 PM,25-008397,BRANDISHING FIREARM REPLICA,17X,930 FOOTHILL BLVD,Oakland,CA,POINT (-122.24821 37.79373)
MISDEMEANOR ASSAULT,03/23/2025 12:23:00 AM,25-012927,BATTERY,31X,633 HEGENBERGER RD,Oakland,CA,POINT (-122.19734 37.747)
MISDEMEANOR ASSAULT,02/03/2025 05:40:00 AM,25-005189,BATTERY,23X,3301 E 12TH ST,Oakland,CA,POINT (-122.22459 37.7762)
MISDEMEANOR ASSAULT,03/08/2025 05:41:00 PM,25-010650,ASSAULT AND BATTERY,24X,1957 HARRINGTON AV,Oakland,CA,POINT (-122.21656 37.78063)
BURG - AUTO,04/11/2025 08:00:00 PM,25-016594,BURGLARY-AUTO,25Y,420 CANYON OAKS DR,Oakland,CA,POINT (-122.14932 37.77114)
,04/13/2025 02:00:00 AM,25-903516,BURGLARY-AUTO,,41ST AVE,Oakland,CA,
DOMESTIC VIOLENCE,02/16/2025 11:00:00 PM,25-007281,EXHIBIT FIREARM,34X,2006 92ND AV,Oakland,CA,POINT (-122.16697 37.75185)
MISDEMEANOR ASSAULT,02/06/2025 08:00:00 PM,25-005782,BATTERY,27Y,2515 64TH AV,Oakland,CA,POINT (-122.18731 37.76853)
FELONY ASSAULT,02/15/2025 01:58:00 AM,25-007143,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,26X,1300 45TH AV,Oakland,CA,POINT (-122.21347 37.77103)
RECOVERED O/S STOLEN,02/21/2025 02:59:00 PM,25-008224,VEHICLE THEFT - AUTO,30X,7200 WELD ST,Oakland,CA,POINT (-122.18258 37.76323)
BURG - AUTO,02/16/2025 09:45:00 PM,25-901501,BURGLARY-AUTO,01X,59 BROADWAY,Oakland,CA,POINT (-122.27691 37.79511)
STOLEN VEHICLE,03/20/2025 05:50:00 PM,25-012594,VEHICLE THEFT - AUTO,08X,3300 WEBSTER ST,Oakland,CA,POINT (-122.26174 37.82134)
GRAND THEFT,02/10/2025 12:45:00 PM,25-903227,GRAND THEFT,13Z,2110 MOUNTAIN BLVD,Oakland,CA,POINT (-122.2092 37.82488)
FORCIBLE RAPE,02/22/2025 07:39:00 AM,25-008352,SEXUAL PENETRATION W/FOREIGN OBJECT W/FORCE,33X,1301 83RD AV,Oakland,CA,POINT (-122.18 37.75402)
FELONY ASSAULT,03/11/2025 12:17:00 AM,25-011012,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,23X,3600 E 9TH ST,Oakland,CA,POINT (-122.22425 37.77219)
VANDALISM,03/02/2025 07:05:00 PM,25-901585,VANDALISM,12X,520 49TH ST,Oakland,CA,POINT (-122.26335 37.83583)
FORGERY & COUNTERFEITING,02/17/2025 12:00:00 AM,25-902901,THEFT BY USE OF ACCESS CARD,08X,2855 BROADWAY,Oakland,CA,POINT (-122.26355 37.81671)
PETTY THEFT,04/09/2025 12:00:00 PM,25-016073,THEFT,27Y,1400 51ST AV,Oakland,CA,POINT (-122.20779 37.7692)
FORGERY & COUNTERFEITING,02/04/2025 03:20:00 PM,25-005472,FORGERY-FELONY,26Y,6873 HAWLEY ST,Oakland,CA,POINT (-122.1967 37.75693)
STOLEN VEHICLE,03/29/2025 05:40:00 AM,25-013915,VEHICLE THEFT - AUTO,02X,900 MARKET ST,Oakland,CA,POINT (-122.28163 37.80378)
STOLEN VEHICLE,03/23/2025 11:30:00 PM,25-013144,VEHICLE THEFT - AUTO,27X,1638 47TH AV,Oakland,CA,POINT (-122.20944 37.77223)
,03/29/2025 12:00:00 AM,25-903351,BURGLARY-AUTO,14Y,482 FAIRBANKS AVE,Oakland,CA,POINT (-122.24351 37.81781)
BURG - RESIDENTIAL,03/15/2025 06:30:00 PM,25-902335,BURGLARY-NO FORCE,13X,5829 VIRMAR AV,Oakland,CA,POINT (-122.24642 37.84281)
HOMICIDE,02/20/2025 09:20:00 AM,25-008008,SC UNEXPLAINED DEATH,25X,3814 MACARTHUR BLVD,Oakland,CA,POINT (-122.19869 37.79166)
FELONY ASSAULT,03/20/2025 03:42:00 PM,25-012573,ASSAULT WITH FIREARM ON PERSON,24Y,4157 CULVER ST,Oakland,CA,POINT (-122.19991 37.78558)
VANDALISM,03/26/2025 09:56:00 AM,25-013422,TRESPASS:OCCUPY PROPERTY W/O CONSENT,06X,2617 MARTIN LUTHER KING JR WAY,Oakland,CA,POINT (-122.2717 37.81671)
OTHER,02/20/2025 05:00:00 PM,25-008165,STALKING-MISD,14X,500 GRAND AV,Oakland,CA,POINT (-122.25134 37.80887)
ROBBERY,01/29/2025 05:10:00 PM,25-004561,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",27X,1651 47TH AV,Oakland,CA,POINT (-122.20949 37.77217)
ROBBERY,02/13/2025 11:00:00 PM,25-006888,ROBBERY/ATM - FIREARM,22Y,3450 MACARTHUR BLVD,Oakland,CA,POINT (-122.20086 37.79399)
PETTY THEFT,02/18/2025 01:47:00 AM,25-007610,THEFT:PERSONAL PROPERTY,30X,7300 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.18678 37.75906)
BURG - AUTO,02/17/2025 01:31:00 PM,25-901392,BURGLARY-AUTO,25X,3726 MACARTHUR BLVD,Oakland,CA,POINT (-122.19872 37.79207)
STOLEN VEHICLE,03/02/2025 06:30:00 PM,25-009640,VEHICLE THEFT - AUTO,24X,4030 SAN JUAN ST,Oakland,CA,POINT (-122.21411 37.77802)
PETTY THEFT,01/27/2025 10:30:00 AM,25-902164,THEFT,31Y,8451 SAN LEANDRO ST,Oakland,CA,POINT (-122.1901 37.74745)
DISORDERLY CONDUCT,02/19/2025 04:31:00 AM,25-007790,DISTURB THE PEACE,05X,2003 WEST ST,Oakland,CA,POINT (-122.27699 37.81164)
HOMICIDE,03/31/2025 07:00:00 AM,25-014181,SC UNEXPLAINED DEATH,06X,832 29TH ST,Oakland,CA,POINT (-122.27459 37.81927)
WEAPONS,04/15/2025 06:35:00 PM,25-016789,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,32X,1300 102ND AV,Oakland,CA,POINT (-122.1701 37.74032)
BURG - AUTO,02/21/2025 08:00:00 PM,25-902042,BURGLARY-AUTO,12Y,CLAREMONT AV & COLLEGE AV,Oakland,CA,POINT (-122.25228 37.84944)
PETTY THEFT,01/26/2025 04:30:00 AM,25-901006,THEFT,04X,1416 CASTRO ST,Oakland,CA,POINT (-122.27688 37.80706)
BURG - AUTO,04/01/2025 08:15:00 AM,25-902971,BURGLARY-AUTO,31X,451 HEGENBERGER RD,Oakland,CA,POINT (-122.1972 37.73765)
BURG - RESIDENTIAL,02/17/2025 12:04:00 AM,25-007502,BURGLARY-FORCIBLE ENTRY,20X,340 29TH AV,Oakland,CA,POINT (-122.23574 37.77253)
RECOVERED O/S STOLEN,02/14/2025 12:18:00 PM,25-007051,VEHICLE THEFT - AUTO,33X,1200 91ST AV,Oakland,CA,POINT (-122.17734 37.74766)
MISDEMEANOR ASSAULT,03/22/2025 10:49:00 PM,25-012917,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,10Y,884 43RD ST,Oakland,CA,POINT (-122.27268 37.83295)
BURG - AUTO,01/23/2025 04:27:00 AM,25-900760,BURGLARY-AUTO,22Y,3362 HERRIER ST,Oakland,CA,POINT (-122.19432 37.79962)
OTHER,03/11/2025 10:50:00 AM,25-011081,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,19X,2255 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.2365 37.78376)
STOLEN VEHICLE,02/02/2025 04:00:00 AM,25-005131,VEHICLE THEFT - AUTO,13Y,716 MOUNTAIN BLVD,Oakland,CA,POINT (-122.22249 37.8435)
MISDEMEANOR ASSAULT,04/12/2025 08:00:00 PM,25-016540,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,08X,2425 VALDEZ ST,Oakland,CA,POINT (-122.26403 37.81364)
RECOVERED O/S STOLEN,02/21/2025 08:45:00 PM,25-008287,VEHICLE THEFT - AUTO,26Y,6600 SAN LEANDRO ST,Oakland,CA,POINT (-122.20066 37.75671)
VANDALISM,03/16/2025 09:15:00 PM,25-902326,VANDALISM,06X,615 27TH ST,Oakland,CA,POINT (-122.27139 37.81694)
NARCOTICS,02/03/2025 10:56:00 PM,25-005159,BATTERY,26Y,989 70TH AV,Oakland,CA,POINT (-122.19436 37.75717)
MISDEMEANOR ASSAULT,01/22/2025 03:29:00 PM,25-003404,BATTERY,10Y,675 41ST ST,Oakland,CA,POINT (-122.26864 37.83065)
BURG - RESIDENTIAL,03/26/2025 08:35:00 PM,25-013557,BURGLARY-FORCIBLE ENTRY,22X,3557 LINCOLN AV,Oakland,CA,POINT (-122.21323 37.80079)
FELONY ASSAULT,04/11/2025 02:00:00 PM,25-016176,BATTERY W/SERIOUS BODILY INJURY,30X,7118 ORRAL ST,Oakland,CA,POINT (-122.18563 37.76184)
FELONY ASSAULT,02/17/2025 12:15:00 PM,25-007494,VIOLATION OF PROBATION-FELONY,19X,500 BLK OF BELLEVUE AVE,Oakland,CA,POINT (-122.25411 37.80773)
ROBBERY,02/04/2025 09:50:00 AM,25-005388,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",15X,270 E 18TH ST,Oakland,CA,POINT (-122.25214 37.80006)
PETTY THEFT,02/08/2025 11:00:00 PM,25-005956,THEFT,14X,328 WARWICK AV,Oakland,CA,POINT (-122.25417 37.81323)
BURG - COMMERCIAL,03/05/2025 11:54:00 PM,25-010198,BURGLARY-FORCIBLE ENTRY,07X,2915 MARKET ST,Oakland,CA,POINT (-122.27684 37.81998)
DISORDERLY CONDUCT,02/23/2025 02:23:00 AM,25-008980,DISTURB THE PEACE,20X,2520 E 12TH ST,Oakland,CA,POINT (-122.2343 37.78152)
PETTY THEFT,03/25/2025 08:00:00 PM,25-013401,THEFT,06X,800 BROCKHURST ST,Oakland,CA,POINT (-122.27308 37.82261)
PETTY THEFT,02/10/2025 06:00:00 AM,25-006505,THEFT,24X,2000 36TH AV,Oakland,CA,POINT (-122.21689 37.78202)
BURG - AUTO,03/07/2025 07:16:00 AM,25-010380,BURGLARY-AUTO,03X,11TH ST & MADISON ST,Oakland,CA,POINT (-122.26534 37.79946)
MISDEMEANOR ASSAULT,03/17/2025 04:25:00 PM,25-012119,THEFT,19X,1527 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.24463 37.78862)
MISDEMEANOR ASSAULT,03/26/2025 12:56:00 AM,25-013404,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26Y,1200 66TH AV,Oakland,CA,POINT (-122.19618 37.76024)
BURG - RESIDENTIAL,02/25/2025 05:00:00 PM,25-008912,VANDALISM-$400+,30X,1800 74TH AV,Oakland,CA,POINT (-122.18302 37.76087)
STOLEN VEHICLE,02/17/2025 08:00:00 PM,25-007712,VEHICLE THEFT - AUTO,17X,2014 5TH AV,Oakland,CA,POINT (-122.24801 37.79988)
GRAND THEFT,03/05/2025 07:33:00 PM,25-902531,GRAND THEFT,12Y,5110 TELEGRAPH AV,Oakland,CA,POINT (-122.26231 37.83747)
BURG - AUTO,03/19/2025 06:40:00 AM,25-902353,BURGLARY-AUTO,20X,3060 E 9TH ST,Oakland,CA,POINT (-122.23042 37.77423)
,03/01/2025 01:30:00 PM,25-902884,THEFT BY USE OF ACCESS CARD,04X,2000 SAN PABLO AVE,Oakland,CA,POINT (-122.27308 37.81024)
BURG - RESIDENTIAL,01/27/2025 12:20:00 PM,25-004208,VANDALISM,29X,2842 SEMINARY AV,Oakland,CA,POINT (-122.1876 37.7735)
BURG - AUTO,03/21/2025 09:45:00 PM,25-902459,BURGLARY-AUTO,08X,2337 BROADWAY,Oakland,CA,POINT (-122.26653 37.81284)
PETTY THEFT,04/08/2025 08:00:00 AM,25-016561,THEFT,27Y,6231 FORTUNE WY,Oakland,CA,POINT (-122.18841 37.76915)
DOMESTIC VIOLENCE,01/30/2025 12:55:00 PM,25-004685,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,20X,333 LANCASTER ST,Oakland,CA,POINT (-122.23095 37.77032)
VANDALISM,03/14/2025 08:15:00 PM,25-011738,BATTERY,29X,3898 DELMONT AV,Oakland,CA,POINT (-122.17137 37.77624)
PETTY THEFT,04/03/2025 11:00:00 PM,25-014932,THEFT,26Y,6735 LEONA CREEK DR,Oakland,CA,POINT (-122.1992 37.75685)
STOLEN VEHICLE,02/13/2025 05:34:00 PM,25-007174,VEHICLE THEFT - AUTO,23X,3511 E 12TH ST,Oakland,CA,POINT (-122.22246 37.77512)
STOLEN VEHICLE,03/21/2025 09:30:00 PM,25-012892,VEHICLE THEFT - AUTO,28X,2600 HIGH ST,Oakland,CA,POINT (-122.20401 37.78261)
THREATS,02/04/2025 12:01:00 AM,25-005349,VANDALISM:DEFACE PROPERTY,29X,4045 EDWARDS AV,Oakland,CA,POINT (-122.16511 37.77569)
DISORDERLY CONDUCT,02/14/2025 10:00:00 AM,25-007176,DISTURB THE PEACE,26Y,1327 79TH AV,Oakland,CA,POINT (-122.18374 37.75649)
HOMICIDE,02/09/2025 01:48:00 AM,25-006069,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,27Y,2500 62ND AV,Oakland,CA,POINT (-122.18948 37.7691)
,04/10/2025 08:00:00 PM,25-903346,BURGLARY-AUTO,04X,331 22ND ST,Oakland,CA,POINT (-122.26514 37.8106)
STOLEN VEHICLE,02/26/2025 06:30:00 AM,25-008909,VEHICLE THEFT - AUTO,22X,2034 HOOVER AV,Oakland,CA,POINT (-122.20696 37.81078)
STOLEN VEHICLE,03/15/2025 08:00:00 PM,25-011994,VEHICLE THEFT - AUTO,02Y,1200 WOOD ST,Oakland,CA,POINT (-122.29887 37.81199)
BURG - AUTO,02/24/2025 08:00:00 PM,25-902055,BURGLARY-AUTO,08X,2801 TELEGRAPH AV,Oakland,CA,POINT (-122.26762 37.81732)
ROBBERY,03/10/2025 09:48:00 AM,25-010908,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,03X,344 13TH ST,Oakland,CA,POINT (-122.2687 37.80249)
FELONY ASSAULT,04/10/2025 02:18:00 AM,25-015907,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,18X,1714 E 21ST ST,Oakland,CA,POINT (-122.23791 37.79248)
BURG - AUTO,03/02/2025 06:00:00 AM,25-010578,ATTEMPT VEHICLE THEFT-AUTO,01X,200 2ND ST,Oakland,CA,POINT (-122.27074 37.79384)
DOMESTIC VIOLENCE,03/21/2025 02:30:00 PM,25-012725,INFLICT CRPL INJ SP/COHAB,08X,550 24TH ST,Oakland,CA,POINT (-122.27002 37.81369)
BURG - RESIDENTIAL,03/31/2025 03:31:00 PM,25-014256,ATTEMPTED BURGLARY,08X,2307 HARRISON ST,Oakland,CA,POINT (-122.26212 37.81167)
MISDEMEANOR ASSAULT,03/25/2025 07:30:00 PM,25-013374,BATTERY,08X,450 FAIRMOUNT AV,Oakland,CA,POINT (-122.25578 37.81958)
BURG - COMMERCIAL,04/05/2025 08:50:00 PM,24-015217,VIOLATION OF PROBATION-MISD,19X,1111 2ND AV,Oakland,CA,POINT (-122.2579 37.79683)
ROBBERY,02/06/2025 12:02:00 AM,25-005672,ROBBERY-FIREARM,05X,SAN PABLO AV & W GRAND AV,Oakland,CA,POINT (-122.27392 37.8128)
